restaurant_name,address,city,postal_code,country,price_range,cuisine_type,description,facilities_services,credit_cards,phone_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,url
Ménage – Catania - a MICHELIN Guide Restaurant,Via Euplio Reina 13,Catania,95121,ITA,€€,"Sicilian, Contemporary","Situated in the heart of the city near the Teatro Bellini and Piazza Università, this restaurant occupies an Art Nouveau-style building. Here, a trio of experienced young chefs from Catania have ...","Air conditioning, Terrace, Wheelchair access","amex, dinersclub, mastercard, visa",+39 095 0927 2933,37.5040814,15.0880740,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/sicilia/catania/restaurant/menage
Donevandro – Popoli - a MICHELIN Guide Restaurant,via Garibaldi 2,Popoli,65026,ITA,€€,"Contemporary, Seasonal Cuisine","Up until a few years ago, the owner-chef at this restaurant was working as a painter – a fact that is evident from the artistic touch in his cuisine. His recipes are modern and personalised, with ...",Air conditioning,"mastercard, visa",+39 388 887 6858,42.1744979,13.8329115,closed,closed,19:45-21:30,"12:45-14:00, 19:45-21:30","12:45-14:00, 19:45-21:30","12:45-14:00, 19:45-21:30","12:45-14:00, 19:45-21:30",https://guide.michelin.com/en/abruzzo/popoli_1845563/restaurant/donevandro
Procaccini – Milan - a MICHELIN Guide Restaurant,Via Giulio Cesare Procaccini 33,Milan,20154,ITA,€€€€,"Modern Cuisine, Contemporary","Originally from Kosovo, talented chef Emin Haziri grew up in Italy and has plenty of professional culinary experience behind him. Here, he creates contemporary cuisine with a personal flavour, ...","Air conditioning, Restaurant offering vegetarian menus","amex, dinersclub, mastercard, visa",+39 02 7709 1277,45.4837396,9.1708465,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/lombardia/milano/restaurant/procaccini
Ape Vino e Cucina – Alba - a MICHELIN Guide Restaurant,Piazza Risorgimento 3,Alba,12051,ITA,€€,"Piedmontese, Contemporary","This attractive restaurant in the heart of Alba, the gastronomic capital of the Langhe, is home to chef Damiano Nigro who has previous experience in Michelin-starred restaurants in the area. The ...","Air conditioning, Terrace, Wheelchair access","amex, dinersclub, maestrocard, mastercard, visa",+39 0173 363453,44.7005845,8.0361169,"11:30-14:30, 18:00-23:30",closed,closed,"11:30-14:30, 18:30-23:30","11:30-14:30, 18:00-23:30","11:30-14:30, 18:00-23:30","11:30-14:30, 18:00-23:30",https://guide.michelin.com/en/piemonte/alba/restaurant/ape-vino-e-cucina
Da Bob Cook Fish – Sorrento - a MICHELIN Guide Restaurant,largo Parsano vecchio 16,Sorrento,80067,ITA,€€,Seafood,"Working in partnership with the nearby fishmongers which supplies it with fresh fish and seafood, this restaurant occupies a building once used for storing oranges that dates back 400 years. ...","Air conditioning, Terrace","amex, dinersclub, mastercard, visa",+39 081 1778 3873,40.6237252,14.3705831,"12:00-15:00, 18:00-23:00",closed,"12:00-15:00, 18:00-23:00","12:00-15:00, 18:00-23:00","12:00-15:00, 18:00-23:00","12:00-15:00, 18:00-23:00","12:00-15:00, 18:00-23:00",https://guide.michelin.com/en/campania/sorrento/restaurant/da-bob-cook-fish
DA_MÓ – Matera - a MICHELIN Guide Restaurant,Via Bruno Buozzi 20,Matera,75100,ITA,€€,"Regional Cuisine, Contemporary","This new, restored restaurant in the upper part of the Sassi (yet still near the centre of Matera and its car parks) has a warm friendly ambience and boasts a small, charming outdoor space. Here, ...","Air conditioning, Terrace","amex, dinersclub, mastercard, visa",+39 0835 686548,40.6624784,16.6113483,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/basilicata/matera/restaurant/da-mo
Sa Domu Sarda – Cagliari - a MICHELIN Guide Restaurant,via Sassari 51,Cagliari,09124,ITA,€€,Sardinian,"Despite being an island, Sardinia’s traditional cuisine tends to focus on meat dishes, and you’ll find some of its best-known specialities served at this restaurant, with its simple dining rooms ...","Air conditioning, Terrace","amex, mastercard, visa",+39 070 653400,39.2169379,9.1106285,"12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00","12:30-15:30, 19:30-23:00",https://guide.michelin.com/en/sardegna/cagliari/restaurant/sa-domu-sarda
Charleston – Palermo - a MICHELIN Guide Restaurant,via Generale Magliocco 19,Palermo,90141,ITA,€€€€,"Modern Cuisine, Creative","Before it became famous in Mondello, the renowned Charleston started out here in the centre of Palermo – and it has now returned to its origins, occupying the former Mazzara bar, itself once a ...","Air conditioning, Counter dining, Terrace, Wheelchair access","amex, mastercard, visa",+39 091 450171,38.1215951,13.3569428,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/sicilia/palermo/restaurant/charleston
Il Tirabusciò – Bibbiena - a MICHELIN Guide Restaurant,via Rosa Scoti 12,Bibbiena,52011,ITA,€€,Tuscan,This restaurant in the heart of the old town is a must for anyone keen to try the cuisine of the Casentino region. The friendly chef is more than happy to provide information on his ingredients ...,Air conditioning,"amex, mastercard, visa",+39 0575 595474,43.6950608,11.8175308,closed,closed,"12:30-14:00, 19:30-22:00","12:30-14:00, 19:30-22:00","12:30-14:00, 19:30-22:00","12:30-14:00, 19:30-22:00","12:30-14:00, 19:30-22:00",https://guide.michelin.com/en/toscana/bibbiena/restaurant/il-tirabuscio262517
La Buca – Cesenatico - a MICHELIN Guide Restaurant,corso Garibaldi 45,Cesenatico,47042,ITA,€€€,"Seafood, Contemporary",Choose one of the tables on the outdoor summer terrace (right over the water!) at this restaurant in order to best appreciate its location overlooking the picturesque canal port and its period ...,"Air conditioning, Terrace, Wheelchair access","amex, maestrocard, mastercard, visa",+39 0547 675649,44.2003140,12.3968230,closed,19:30-22:30,"12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30",https://guide.michelin.com/en/emilia-romagna/cesenatico/restaurant/la-buca130947
Luminist Cafè Bistrot – Naples - a MICHELIN Guide Restaurant,via Toledo 177,Naples,80134,ITA,€€,Classic Cuisine,"Situated on the ground floor of the splendid Banco di Napoli building that is also home to the Gallerie d'Italia museum, this restaurant also includes a bar and pasticceria. The varied restaurant ...","Air conditioning, Wheelchair access","amex, unionpay, dinersclub, discover, jcb, maestrocard, mastercard, visa",+39 081 1975 8023,40.8406951,14.2487400,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,09:00-23:00,09:00-18:00,https://guide.michelin.com/en/campania/napoli/restaurant/luminist-cafe-bistrot
Il Ristorante - Niko Romito – Rome - a MICHELIN Guide Restaurant,via di Ripetta 73,Rome,00186,ITA,€€€€,Italian Contemporary,"Situated on the fifth floor of the Hotel Bulgari with views of the Mausoleum of Augustus, Il Ristorante - Niko Romito boasts a spacious terrace and an elegant, welcoming dining room with mahogany ...","Air conditioning, Interesting wine list, Terrace","amex, unionpay, dinersclub, discover, jcb, maestrocard, mastercard, visa",+39 06 3608 0410,41.9067852,12.4758727,"12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00","12:30-15:00, 19:00-23:00",https://guide.michelin.com/en/lazio/roma/restaurant/il-ristorante-niko-romito-1209165
Quintogusto – Savona - a MICHELIN Guide Restaurant,piazza Sandro Pertini 54 r,Savona,17100,ITA,€€,"Contemporary, Mediterranean Cuisine","Recently opened in the renovated section of Corso Italia in central Savona, Quintogusto is a small, contemporary and minimalist-style restaurant occupying one side of the former hospital. Here, ...","Air conditioning, Terrace, Wheelchair access","amex, mastercard, visa",+39 019 770 2870,44.3054183,8.4814112,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/liguria/savona/restaurant/quintogusto
Locanda delle Tre Chiavi – Isera - a MICHELIN Guide Restaurant,via Vannetti 8,Isera,38060,ITA,€,"Regional Cuisine, Seasonal Cuisine","This restaurant housed in an 18C building is run by its talented and enthusiastic owners Sergio (front of house) and Annarita (in the kitchen), who do their utmost to provide guests with the best ...","Car park, Terrace","amex, maestrocard, mastercard, visa",+39 348 402 0857,45.8891800,11.0112600,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/trentino-alto-adige/isera/restaurant/locanda-delle-tre-chiavi
Musciora – Alghero - a MICHELIN Guide Restaurant,via Mazzini 59,Alghero,07041,ITA,€€€,"Sardinian, Modern Cuisine","Located not far from the town centre, this restaurant offers friendly, professional service and three tasting menus including the particularly appealing 8-course “La vera esperienza Musciora”. The...","Air conditioning, Interesting wine list, Terrace","amex, mastercard, visa",+39 079 973 7519,40.5586717,8.3178130,closed,20:00-22:30,20:00-22:30,20:00-22:30,20:00-22:30,"13:00-14:30, 20:00-22:30","13:00-14:30, 20:00-22:30",https://guide.michelin.com/en/sardegna/alghero/restaurant/musciora
Castello di Fighine – San Casciano dei Bagni - a MICHELIN Guide Restaurant,borgo di Fighine,San Casciano dei Bagni,53040,ITA,€€€,Contemporary,A dirt track leads to this magical setting – an 11C castle perched among the Tuscan hills which is now privately owned and has been restored and renovated over the past 15 years. Situated in the ...,"Air conditioning, Car park, Garden or park, Terrace, Wheelchair access","amex, dinersclub, mastercard, visa",+39 0578 56158,42.8865100,11.9156530,closed,19:30-21:30,"12:30-14:30, 19:30-21:30","12:30-14:30, 19:30-21:30","12:30-14:30, 19:30-21:30","12:30-14:30, 19:30-21:30","12:30-14:30, 19:30-21:30",https://guide.michelin.com/en/toscana/san-casciano-dei-bagni/restaurant/castello-di-fighine
Osteria Mercato – Stresa - a MICHELIN Guide Restaurant,piazza Capucci 9,Stresa,28838,ITA,€€,"Italian Contemporary, Contemporary","The anonymous location of this restaurant in a car park just a stone’s throw from the historic centre is more than compensated by its lively and welcoming atmosphere. Attractive outdoor area, plus...","Air conditioning, Terrace","amex, mastercard, visa",+39 0323 346245,45.8822178,8.5397648,"11:30-14:30, 19:00-23:00",closed,"11:30-14:30, 19:00-23:00","11:30-14:30, 19:00-23:00","11:30-14:30, 19:00-23:00","11:30-14:30, 19:00-23:00","11:30-14:30, 19:00-23:00",https://guide.michelin.com/en/piemonte/stresa/restaurant/osteria-mercato
Osteria Le Panzanelle – Lucarelli - a MICHELIN Guide Restaurant,località Lucarelli 29,Lucarelli,53017,ITA,€€,Tuscan,"This pleasant rural trattoria has a simple, informal ambience. It serves generous portions of delicious regional cuisine, including homemade pasta and excellent meat.",Terrace,"amex, mastercard, visa",+39 0577 733511,43.5189060,11.3116260,closed,"12:30-14:00, 19:30-21:30","12:30-14:00, 19:30-21:30","12:30-14:00, 19:30-21:30","12:30-14:00, 19:30-21:30","12:30-14:00, 19:30-21:30",12:30-14:30,https://guide.michelin.com/en/toscana/lucarelli/restaurant/osteria-le-panzanelle
Bàcaro Il Gusto – Fossò - a MICHELIN Guide Restaurant,via Provinciale Nord 30,Fossò,30030,ITA,€€,Venetian,"A simple, modern restaurant where all the attention is focused on the extraordinary skills of the chef. The name is a nod to the typical Venetian bars known as bacari, and, in keeping with them, ...","Air conditioning, Wheelchair access","amex, mastercard, visa",+39 041 517 0035,45.3866770,12.0493508,closed,"12:00-14:00, 19:30-22:00","12:00-14:00, 19:30-22:00","12:00-14:00, 19:30-22:00","12:00-14:00, 19:30-22:00","12:00-14:00, 19:30-22:00",12:00-14:00,https://guide.michelin.com/en/veneto/fosso/restaurant/bacaro-il-gusto
Casa Rispoli – Cava de' Tirreni - a MICHELIN Guide Restaurant,piazza san Francesco 7,Cava de' Tirreni,84013,ITA,€€,Modern Cuisine,"Overlooking a piazza surrounded by picturesque arcades in the historic centre (a walk around this district is highly recommended), this restaurant run by the Rispoli family continues to uphold its...","Air conditioning, Terrace","amex, mastercard, visa",+39 089 995 1261,40.6963696,14.7099255,closed,"13:00-14:30, 20:00-23:00","13:00-14:30, 20:00-23:00","13:00-14:30, 20:00-23:00","13:00-14:30, 20:00-23:00","13:00-14:30, 20:00-23:00",13:00-14:30,https://guide.michelin.com/en/campania/cava-de-tirreni/restaurant/casa-rispoli
L'Arcangelo – Rome - a MICHELIN Guide Restaurant,via Giuseppe Gioacchino Belli 59,Rome,00193,ITA,€€,"Roman, Farm to table","Simple and austere: the rightfully earned fame of this restaurant is due to the search for the best regional (but not only) products. A real passion of the owner who, like an archangel, will guide...",Air conditioning,"amex, mastercard, visa",+39 06 321 0992,41.9065413,12.4687174,19:15-22:45,19:15-22:45,19:15-22:45,19:15-22:45,19:15-22:45,19:15-22:45,closed,https://guide.michelin.com/en/lazio/roma/restaurant/l-arcangelo
Raieü – Cavi di Lavagna - a MICHELIN Guide Restaurant,via Milite Ignoto 23,Cavi di Lavagna,16033,ITA,€€,"Seafood, Ligurian","After more than 60 years in business, this trattoria housed in an old warehouse for storing fishing nets is still a solid choice for quality and price alike. Situated in the centre of Cavi di ...","Air conditioning, Terrace","dinersclub, mastercard, visa",+39 0185 390145,44.2900882,9.3801310,closed,"12:30-14:30, 19:30-22:00","12:30-14:30, 19:30-22:00","12:30-14:30, 19:30-22:00","12:30-14:30, 19:30-22:00","12:30-14:30, 19:30-22:00","12:30-14:30, 19:30-22:00",https://guide.michelin.com/en/liguria/cavi/restaurant/raieu
Torre del Saracino – Vico Equense - a MICHELIN Guide Restaurant,via Torretta 9,Vico Equense,80069,ITA,€€€€,Creative,"From the coast road you take a series of hairpin bends down to Marina di Equa, the beach at Vico, where you will see this old fortified tower standing just a few metres from the sea. In the tower ...","Air conditioning, Car park, Interesting wine list, Terrace","amex, maestrocard, mastercard, visa",+39 081 802 8555,40.6606947,14.4195590,closed,19:30-01:00,"12:30-16:30, 19:30-01:00","12:30-16:30, 19:30-01:00","12:30-16:30, 19:30-01:00","12:30-16:30, 19:30-01:00",12:30-16:30,https://guide.michelin.com/en/campania/vico-equense/restaurant/torre-del-saracino
Eea – Ponza - a MICHELIN Guide Restaurant,via Umberto I,Ponza,04027,ITA,€€€,"Seafood, Mediterranean Cuisine","Named after the Ancient Greek name for Ponza, this restaurant is situated above the port and boasts fine views of the island’s picturesque houses and rugged coastline from its terrace. With an ...","Air conditioning, Great view, Terrace","amex, dinersclub, mastercard, visa",+39 338 445 6849,40.8935430,12.9647470,19:30-23:30,19:30-23:30,19:30-23:30,19:30-23:30,19:30-23:30,19:30-23:30,19:30-23:30,https://guide.michelin.com/en/lazio/ponza/restaurant/eea
Verbano – Stresa - a MICHELIN Guide Restaurant,"via Ugo Ara 2, Isola dei Pescatori",Stresa,28838,ITA,€€€,"Italian, Mediterranean Cuisine","Within the confines of the small, charming Verbano hotel on the beautiful island of Pescatori, chef Marco Sacco serves top-quality cuisine in what can only be described as a stunning setting. The ...","Air conditioning, Great view, Restaurant offering vegetarian menus, Terrace","amex, dinersclub, mastercard, visa",+39 0323 31226,45.9000678,8.5217885,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/piemonte/stresa/restaurant/verbano
La Tavola – Laveno - a MICHELIN Guide Restaurant,via Fortino 40,Laveno,21014,ITA,€€€€,Creative,"Situated in the Il Porticciolo hotel, this restaurant will appeal to anyone who enjoys a lakeside setting. Leave your car in the car park, then take the lift down to the dining room with its ...","Car park, Great view, Interesting wine list, Terrace","amex, mastercard, visa",+39 0332 667257,45.9065255,8.6104635,19:00-22:00,19:00-22:00,closed,19:00-22:00,19:00-22:00,"12:15-14:00, 19:00-22:00","12:15-14:00, 19:00-22:00",https://guide.michelin.com/en/lombardia/laveno/restaurant/la-tavola
Il Luogo Aimo e Nadia – Milan - a MICHELIN Guide Restaurant,via Montecuccoli 6,Milan,20147,ITA,€€€€,"Italian Contemporary, Modern Cuisine",This long-established restaurant has been part of the Milanese culinary scene for over 60 years and continues to attract food-lovers in search of top-quality cuisine today. It serves a generous ...,"Air conditioning, Counter dining, Interesting wine list, Wheelchair access","amex, dinersclub, maestrocard, mastercard, visa",+39 02 416886,45.4584350,9.1307760,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,closed,closed,https://guide.michelin.com/en/lombardia/milano/restaurant/il-luogo-di-aimo-e-nadia
Dolada – Pieve d'Alpago - a MICHELIN Guide Restaurant,"via Dolada 21, località Plois alt. 870",Pieve d'Alpago,32010,ITA,€€€,"Country cooking, Modern Cuisine","An idyllic picture-postcard setting in a panoramic location overlooking Santa Croce lake, surrounded by villages and mountain peaks. This is matched by an elegant interior with a mix of antique ...","Car park, Garden or park, Great view, Interesting wine list","amex, mastercard, visa",+39 0437 479141,46.1736379,12.3601001,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/veneto/pieve-d-alpago/restaurant/dolada
La Brughiera – Senago - a MICHELIN Guide Restaurant,via XXIV Maggio 23,Senago,20030,ITA,€€,"Lombardian, Traditional Cuisine",This old farmhouse in the Groane Regional Park has never lost its warm family atmosphere. The interior is spacious and attractive and the menus are based on traditional and national specialities.,"Air conditioning, Car park, Garden or park, Interesting wine list, Terrace","amex, dinersclub, mastercard, visa",+39 02 998 2113,45.5757798,9.1140087,"12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30","12:30-14:30, 19:30-22:30",https://guide.michelin.com/en/lombardia/senago/restaurant/la-brughiera
Gasthofstube Stafler – Mules - a MICHELIN Guide Restaurant,Campo di Trens,Mules,39040,ITA,€€,"Regional Cuisine, Traditional Cuisine","This restaurant situated in the splendid Stafler hotel on the road to Austria is perfect for a romantic dinner, with a comfortable Stube-style dining room and an internal garden for fine weather. ...","Car park, Garden or park, Terrace","mastercard, visa",+39 0472 771136,46.8511257,11.5204347,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/trentino-alto-adige/mauls/restaurant/gasthofstube-stafler
Ristorante de LEN – Cortina d'Ampezzo - a MICHELIN Guide Restaurant,Via Cesare Battisti 66,Cortina d'Ampezzo,32043,ITA,€€,Regional Cuisine,"Just a stone’s throw from the central and very busy Corso Italia, this restaurant has an elegant Alpine feel. Here, subtle lighting, soft background music and larch wood cladding on the walls ...",Wheelchair access,"amex, dinersclub, mastercard, visa",+39 0436 4246,46.5388400,12.1340300,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,https://guide.michelin.com/en/veneto/cortina-d-ampezzo/restaurant/de-len
AceroRosso – Vodo di Cadore - a MICHELIN Guide Restaurant,Via Rovignan 1,Vodo di Cadore,32040,ITA,€€€,Regional Cuisine,This secluded mountain chalet immersed in verdant woodland boasts a welcoming dining room with a decidedly Alpine feel thanks to the profusion of wood and a warming open fire. The cuisine is also ...,"Car park, Terrace, Wheelchair access","mastercard, visa",+39 0435 489653,46.4108978,12.2787883,"12:15-14:30, 19:15-22:00","12:15-14:30, 19:15-22:00",closed,"12:15-14:30, 19:15-22:00","12:15-14:30, 19:15-22:00","12:15-14:30, 19:15-22:00","12:15-14:30, 19:15-22:00",https://guide.michelin.com/en/veneto/vodo-di-cadore/restaurant/acerorosso
Café Les Paillotes – Pescara - a MICHELIN Guide Restaurant,piazza Le Laudi 2,Pescara,65129,ITA,€€€,"Modern Cuisine, Seafood","This old acquaintance of the Michelin Guide now has a new chef at the helm! Although the decor and furnishings remain the same with a slightly old-fashioned feel, the cuisine is modern yet with no...","Air conditioning, Interesting wine list, Restaurant offering vegetarian menus, Terrace, Wheelchair access","amex, dinersclub, mastercard, visa",+39 085 61809,42.4548186,14.2397968,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/abruzzo/pescara/restaurant/cafe-les-paillotes
Buriani dal 1967 – Pieve di Cento - a MICHELIN Guide Restaurant,via Matteotti 66,Pieve di Cento,40066,ITA,€€,"Italian, Modern Cuisine","A family-run restaurant in the province of Bologna with an excellent reputation for good food. Whether you choose one of the fish-based recipes or meat dishes, you’ll enjoy cuisine with a balance ...","Air conditioning, Wheelchair access","amex, mastercard, visa",+39 051 975177,44.7112661,11.3059943,12:00-00:00,closed,closed,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,https://guide.michelin.com/en/emilia-romagna/pieve-di-cento/restaurant/buriani-dal-1967
Da Nonna Sceppa – Paestum - a MICHELIN Guide Restaurant,via Laura 45,Paestum,84047,ITA,€€,"Campanian, Traditional Cuisine","Founded in the 1960s by Grandma Giuseppa, the inn has today become a restaurant. The management has stayed within the hands of the same family: nephews and great - nephews are spread over dining ...","Air conditioning, Car park, Terrace","amex, mastercard, visa",+39 0828 851064,40.4463800,14.9788890,12:30-15:00,12:30-15:00,12:30-15:00,closed,12:30-15:00,"12:30-15:00, 19:30-22:45",12:30-15:00,https://guide.michelin.com/en/campania/paestum/restaurant/da-nonna-sceppa
Vesta Mare – Marina di Pietrasanta - a MICHELIN Guide Restaurant,viale Roma 41,Marina di Pietrasanta,55045,ITA,€€€,"Seafood, Classic Cuisine","This typical, elegant Versilian beach club with an open-plan feel extending from the car park to the beach serves top-quality cuisine to guests. Its facilities include an entrance lounge, stylish ...","Air conditioning, Car park, Interesting wine list, Terrace, Wheelchair access","amex, mastercard, visa",+39 0584 20187,43.9332290,10.1930984,NA,NA,NA,NA,NA,NA,NA,https://guide.michelin.com/en/toscana/marina-di-pietrasanta/restaurant/franco-mare
Tantris – Novara - a MICHELIN Guide Restaurant,corso Risorgimento 384,Novara,28100,ITA,€€€,Creative,"A single elegant room for a menu that is an invitation to a gastronomic journey with Marta Grassi: at Tantris you’ll find local references, but the offering is essentially creative and freely ...","Air conditioning, Wheelchair access","maestrocard, mastercard, visa",+39 0321 657343,45.4828355,8.6104091,closed,closed,"12:30-14:00, 19:45-21:00","12:30-14:00, 19:45-21:00","12:30-14:00, 19:45-21:00","12:30-14:00, 19:45-21:00",12:30-14:00,https://guide.michelin.com/en/piemonte/novara/restaurant/tantris
