restaurant_name	address	city	postal_code	country	price_range	cuisine_type	description	facilities_services	credit_cards	phone_number	latitude	longitude	monday_hours	tuesday_hours	wednesday_hours	thursday_hours	friday_hours	saturday_hours	sunday_hours	url_micheline	url
Ménage – Catania - a MICHELIN Guide Restaurant	Via Euplio Reina 13	Catania	95121	ITA	€€	Sicilian, Contemporary	Situated in the heart of the city near the Teatro Bellini and Piazza Università, this restaurant occupies an Art Nouveau-style building. Here, a trio of experienced young chefs from Catania have brought new life to the old “Da Turi Finocchiaro” restaurant, which has always been very popular with the city’s high society. Offering a small outdoor space near the entrance, the quiet, intimate dining room on the ground floor provides the backdrop for reinterpreted, contemporary Sicilian cuisine with an exclusive focus on meat (especially barbecued dishes which are the restaurant’s trademark), while the first floor is home to a cocktail bar run with passion by one of the partners. Two frescoes painted by Giuseppe Barone in 1930 add to the appeal.	Air conditioning, Terrace, Wheelchair access	amex, dinersclub, mastercard, visa	+39 095 0927 2933	37.5040814	15.0880740	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/sicilia/catania/restaurant/menage	https://www.menagelounge.it/
Donevandro – Popoli - a MICHELIN Guide Restaurant	via Garibaldi 2	Popoli	65026	ITA	€€	Contemporary, Seasonal Cuisine	Up until a few years ago, the owner-chef at this restaurant was working as a painter – a fact that is evident from the artistic touch in his cuisine. His recipes are modern and personalised, with careful attention naturally paid to harmonious presentation, while the flavour of his dishes is brought out by ingredients that are skilfully chosen from the Abruzzo inland area. In 2024, the restaurant moved to new, centrally located premises which have an intimate feel and are elegant and minimalist in style.	Air conditioning	mastercard, visa	+39 388 887 6858	42.1744979	13.8329115	closed	closed	19:45-21:30	12:45-14:00, 19:45-21:30	12:45-14:00, 19:45-21:30	12:45-14:00, 19:45-21:30	12:45-14:00, 19:45-21:30	https://guide.michelin.com/en/abruzzo/popoli_1845563/restaurant/donevandro	http://www.donevandroristorante.it
Procaccini – Milan - a MICHELIN Guide Restaurant	Via Giulio Cesare Procaccini 33	Milan	20154	ITA	€€€€	Modern Cuisine, Contemporary	Originally from Kosovo, talented chef Emin Haziri grew up in Italy and has plenty of professional culinary experience behind him. Here, he creates contemporary cuisine with a personal flavour, with raw seafood dishes such as oysters, caviar, Sicilian prawns and scampi available alongside his more imaginative options. In the elegant and stylish dining room with a harmonious colour scheme and fine furnishings, the open-view kitchen and marble chef’s table with velvet-covered stools really catch the eye. The restaurant also boasts a cocktail bar where guests can enjoy a drink and appetisers from the small tapas menu which is designed for sharing.	Air conditioning, Restaurant offering vegetarian menus	amex, dinersclub, mastercard, visa	+39 02 7709 1277	45.4837396	9.1708465	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/lombardia/milano/restaurant/procaccini	http://procaccini.com
Ape Vino e Cucina – Alba - a MICHELIN Guide Restaurant	Piazza Risorgimento 3	Alba	12051	ITA	€€	Piedmontese, Contemporary	This attractive restaurant in the heart of Alba, the gastronomic capital of the Langhe, is home to chef Damiano Nigro who has previous experience in Michelin-starred restaurants in the area. The restaurant serves aperitif snacks, tapas and top-quality cocktails alongside its delicious, generously portioned meals which, as you might expect in Piedmont, have a traditional flavour. The pasta, bread, desserts and ice-cream are all homemade, while on our last visit in the summer we particularly enjoyed the maccheroncini with scampi and peppers, and the exquisite Fassona beef with a red-wine sauce and seasonal vegetables. Booked ahead is recommended.	Air conditioning, Terrace, Wheelchair access	amex, dinersclub, maestrocard, mastercard, visa	+39 0173 363453	44.7005845	8.0361169	11:30-14:30, 18:00-23:30	closed	closed	11:30-14:30, 18:30-23:30	11:30-14:30, 18:00-23:30	11:30-14:30, 18:00-23:30	11:30-14:30, 18:00-23:30	https://guide.michelin.com/en/piemonte/alba/restaurant/ape-vino-e-cucina	https://www.apewinebar.it/alba/
Da Bob Cook Fish – Sorrento - a MICHELIN Guide Restaurant	largo Parsano vecchio 16	Sorrento	80067	ITA	€€	Seafood	Working in partnership with the nearby fishmongers which supplies it with fresh fish and seafood, this restaurant occupies a building once used for storing oranges that dates back 400 years. Although there is a menu, given the restaurant’s close relationship with the fishmongers we recommend asking the serving staff about the catch of the day and taking a look in the glass cabinet where the fish are displayed. Dishes are classic and traditional, allowing the full flavour of the fresh fish to shine through.	Air conditioning, Terrace	amex, dinersclub, mastercard, visa	+39 081 1778 3873	40.6237252	14.3705831	12:00-15:00, 18:00-23:00	closed	12:00-15:00, 18:00-23:00	12:00-15:00, 18:00-23:00	12:00-15:00, 18:00-23:00	12:00-15:00, 18:00-23:00	12:00-15:00, 18:00-23:00	https://guide.michelin.com/en/campania/sorrento/restaurant/da-bob-cook-fish	https://www.dabobcookfish.com/
DA_MÓ – Matera - a MICHELIN Guide Restaurant	Via Bruno Buozzi 20	Matera	75100	ITA	€€	Regional Cuisine, Contemporary	This new, restored restaurant in the upper part of the Sassi (yet still near the centre of Matera and its car parks) has a warm friendly ambience and boasts a small, charming outdoor space. Here, an entire family (father in the kitchen, mother and daughter front of house), who moved to Matera from Venosa (home of the Latin poet Horatio), serves regional cuisine with a contemporary twist and no little skill and professionalism. Various tasting menus are available, as well as an à la carte. An interesting wine list completes the picture.	Air conditioning, Terrace	amex, dinersclub, mastercard, visa	+39 0835 686548	40.6624784	16.6113483	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/basilicata/matera/restaurant/da-mo	https://www.damoristorante.it/
Sa Domu Sarda – Cagliari - a MICHELIN Guide Restaurant	via Sassari 51	Cagliari	09124	ITA	€€	Sardinian	Despite being an island, Sardinia’s traditional cuisine tends to focus on meat dishes, and you’ll find some of its best-known specialities served at this restaurant, with its simple dining rooms and typical local décor. Enjoy evocatively named dishes such as “sitzigorrus cun bagna” (snails in a tomato sauce), Bue Rosso “bombas” (meat balls), delicious Sardinian pastas such as “malloreddus”, “culurgiones” and “fregula”, stews, casseroles and meat fillets, as well as the famous “sebadas” and “su pappai biancu” (a type of blancmange) desserts.	Air conditioning, Terrace	amex, mastercard, visa	+39 070 653400	39.2169379	9.1106285	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	12:30-15:30, 19:30-23:00	https://guide.michelin.com/en/sardegna/cagliari/restaurant/sa-domu-sarda	https://www.osteriasadomusarda.it/
Charleston – Palermo - a MICHELIN Guide Restaurant	via Generale Magliocco 19	Palermo	90141	ITA	€€€€	Modern Cuisine, Creative	Before it became famous in Mondello, the renowned Charleston started out here in the centre of Palermo – and it has now returned to its origins, occupying the former Mazzara bar, itself once a favourite with locals. The ground floor is home to a café, cocktail bar and bistro, while the contemporary, Sicilian-style restaurant with an elegant summer terrace occupies the first floor (lift available). Here, young chef Gaetano Verde demonstrates all the skills acquired during his time working at renowned restaurants elsewhere in Italy and further afield. His dishes are clear and precise and often prepared using only three main ingredients – a good example is his grilled beef dish which is served with fermented grapes and sesame cream.	Air conditioning, Counter dining, Terrace, Wheelchair access	amex, mastercard, visa	+39 091 450171	38.1215951	13.3569428	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/sicilia/palermo/restaurant/charleston	https://casacharleston.net/
Il Tirabusciò – Bibbiena - a MICHELIN Guide Restaurant	via Rosa Scoti 12	Bibbiena	52011	ITA	€€	Tuscan	This restaurant in the heart of the old town is a must for anyone keen to try the cuisine of the Casentino region. The friendly chef is more than happy to provide information on his ingredients and to offer recommendations – the strong flavours in evidence and his delicious cuisine are sure to leave a lasting memory.	Air conditioning	amex, maestrocard, mastercard, visa	+39 0575 595474	43.6950608	11.8175308	closed	closed	12:30-14:00, 19:30-22:00	12:30-14:00, 19:30-22:00	12:30-14:00, 19:30-22:00	12:30-14:00, 19:30-22:00	12:30-14:00, 19:30-22:00	https://guide.michelin.com/en/toscana/bibbiena/restaurant/il-tirabuscio262517	https://www.tirabuscio.it/
La Buca – Cesenatico - a MICHELIN Guide Restaurant	corso Garibaldi 45	Cesenatico	47042	ITA	€€€	Seafood, Contemporary	Choose one of the tables on the outdoor summer terrace (right over the water!) at this restaurant in order to best appreciate its location overlooking the picturesque canal port and its period houses. The indoor dining room is also attractive, with its open-view kitchen and a modern and elegant feel, while the menu focuses almost exclusively on fish, most of which is sourced from local fishermen. Enjoy a wide selection of raw antipasti to start (some simple in their preparation, while others are more elaborate), then choose from an array of beautifully presented, modern dishes, perhaps accompanied by one of the many champagnes included on the wine list.	Air conditioning, Terrace, Wheelchair access	amex, maestrocard, mastercard, visa	+39 0547 675649	44.2003140	12.3968230	closed	19:30-22:30	12:30-14:30, 19:30-22:30	12:30-14:30, 19:30-22:30	12:30-14:30, 19:30-22:30	12:30-14:30, 19:30-22:30	12:30-14:30, 19:30-22:30	https://guide.michelin.com/en/emilia-romagna/cesenatico/restaurant/la-buca130947	https://www.labucaristorante.com/
Luminist Cafè Bistrot – Naples - a MICHELIN Guide Restaurant	via Toledo 177	Naples	80134	ITA	€€	Classic Cuisine	Situated on the ground floor of the splendid Banco di Napoli building that is also home to the Gallerie d'Italia museum, this restaurant also includes a bar and pasticceria. The varied restaurant menu features international dishes (for a quicker meal), fish based around recipes from around the world, alongside more creative dishes and regional specialities from Campania. The latter, from the aubergine parmigiana to the candele pasta served with a Neapolitan ragu, and the popular babà, are truly delicious and showcase all the colours and flavours of Neapolitan cuisine.	Air conditioning, Wheelchair access	amex, unionpay, dinersclub, discover, jcb, maestrocard, mastercard, visa	+39 081 1975 8023	40.8406951	14.2487400	08:00-18:00	08:00-18:00	08:00-18:00	08:00-18:00	08:00-18:00	09:00-23:00	09:00-18:00	https://guide.michelin.com/en/campania/napoli/restaurant/luminist-cafe-bistrot	http://www.giuseppeiannotti.it/Luminist
Il Ristorante - Niko Romito – Rome - a MICHELIN Guide Restaurant	via di Ripetta 73	Rome	00186	ITA	€€€€	Italian Contemporary	Situated on the fifth floor of the Hotel Bulgari with views of the Mausoleum of Augustus, Il Ristorante - Niko Romito boasts a spacious terrace and an elegant, welcoming dining room with mahogany walls adorned with works of art. The menu features traditional Italian cuisine reinterpreted with a light and imaginative touch as demonstrated by memorable dishes such as the chef’s own take on classic spaghetti in a tomato sauce.	Air conditioning, Interesting wine list, Terrace	amex, unionpay, dinersclub, discover, jcb, maestrocard, mastercard, visa	+39 06 3608 0410	41.9067852	12.4758727	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	12:30-15:00, 19:00-23:00	https://guide.michelin.com/en/lazio/roma/restaurant/il-ristorante-niko-romito-1209165	https://www.bulgarihotels.com/it_IT/rome/dining/il-ristorante-niko-romito
Quintogusto – Savona - a MICHELIN Guide Restaurant	piazza Sandro Pertini 54 r	Savona	17100	ITA	€€	Contemporary, Mediterranean Cuisine	Recently opened in the renovated section of Corso Italia in central Savona, Quintogusto is a small, contemporary and minimalist-style restaurant occupying one side of the former hospital. Here, the owner-chef (once sous-chef at the excellent Michelin-starred Il Vescovado in Noli) cements his reputation with Ligurian-influenced cuisine to which he adds his own modern and imaginative touches.	Air conditioning, Terrace, Wheelchair access	amex, mastercard, visa	+39 019 770 2870	44.3054183	8.4814112	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/liguria/savona/restaurant/quintogusto	https://ristorantequintogusto.com/
Locanda delle Tre Chiavi – Isera - a MICHELIN Guide Restaurant	via Vannetti 8	Isera	38060	ITA	€	Regional Cuisine, Seasonal Cuisine	This restaurant housed in an 18C building is run by its talented and enthusiastic owners Sergio (front of house) and Annarita (in the kitchen), who do their utmost to provide guests with the best seasonal, regional ingredients prepared in classic dishes full of flavour. The wine list focuses on good-quality labels from the region.	Car park, Terrace	amex, maestrocard, mastercard, visa	+39 348 402 0857	45.8891800	11.0112600	NA	NA	NA	NA	NA	NA	NA	https://guide.michelin.com/en/trentino-alto-adige/isera/restaurant/locanda-delle-tre-chiavi	http://www.locandadelletrechiavi.it
Musciora – Alghero - a MICHELIN Guide Restaurant	via Mazzini 59	Alghero	07041	ITA	€€€	Sardinian, Modern Cuisine	Located not far from the town centre, this restaurant offers friendly, professional service and three tasting menus including the particularly appealing 8-course “La vera esperienza Musciora”. The dishes here pay tribute to Sardinia’s culinary traditions, while the ingredients are all sourced from the region, as are most of the wines. Highlights include the cuttlefish, potato and pea, and the Su Filindeu pasta (served in a seafood broth).	Air conditioning, Interesting wine list, Terrace	amex, mastercard, visa	+39 079 973 7519	40.5586717	8.3178130	closed	20:00-22:30	20:00-22:30	20:00-22:30	20:00-22:30	13:00-14:30, 20:00-22:30	13:00-14:30, 20:00-22:30	https://guide.michelin.com/en/sardegna/alghero/restaurant/musciora	https://musciora.it/
Castello di Fighine – San Casciano dei Bagni - a MICHELIN Guide Restaurant	borgo di Fighine	San Casciano dei Bagni	53040	ITA	€€€	Contemporary	A dirt track leads to this magical setting – an 11C castle perched among the Tuscan hills which is now privately owned and has been restored and renovated over the past 15 years. Situated in the hamlet surrounding the castle, the restaurant boasts a beautiful terrace shaded by wisteria where meals are served in fine weather. In the kitchen, the successful partnership between new resident chef Francesco Nunziata and three-starred Michelin chef Heinz Beck is immediately obvious. Two apartments are available in Casa Parretti for anyone wishing to prolong their stay here.	Air conditioning, Car park, Garden or park, Terrace, Wheelchair access	amex, dinersclub, mastercard, visa	+39 0578 56158	42.8865100	11.9156530	closed	19:30-21:30	12:30-14:30, 19:30-21:30	12:30-14:30, 19:30-21:30	12:30-14:30, 19:30-21:30	12:30-14:30, 19:30-21:30	12:30-14:30, 19:30-21:30	https://guide.michelin.com/en/toscana/san-casciano-dei-bagni/restaurant/castello-di-fighine	https://www.fighine.it/it/ristorante.html
Osteria Mercato – Stresa - a MICHELIN Guide Restaurant	piazza Capucci 9	Stresa	28838	ITA	€€	Italian Contemporary, Contemporary	The anonymous location of this restaurant in a car park just a stone’s throw from the historic centre is more than compensated by its lively and welcoming atmosphere. Attractive outdoor area, plus Italian cuisine reinterpreted with a creative twist.	Air conditioning, Terrace	amex, mastercard, visa	+39 0323 346245	45.8822178	8.5397648	11:30-14:30, 19:00-23:00	closed	11:30-14:30, 19:00-23:00	11:30-14:30, 19:00-23:00	11:30-14:30, 19:00-23:00	11:30-14:30, 19:00-23:00	11:30-14:30, 19:00-23:00	https://guide.michelin.com/en/piemonte/stresa/restaurant/osteria-mercato	https://osteriamercatostresa.com/
Osteria Le Panzanelle – Lucarelli - a MICHELIN Guide Restaurant	località Lucarelli 29	Lucarelli	53017	ITA	€€	Tuscan	This pleasant rural trattoria has a simple, informal ambience. It serves generous portions of delicious regional cuisine, including homemade pasta and excellent meat.	Terrace	amex, mastercard, visa	+39 0577 733511	43.5189060	11.3116260	closed	12:30-14:00, 19:30-21:30	12:30-14:00, 19:30-21:30	12:30-14:00, 19:30-21:30	12:30-14:00, 19:30-21:30	12:30-14:00, 19:30-21:30	12:30-14:30	https://guide.michelin.com/en/toscana/lucarelli/restaurant/osteria-le-panzanelle	https://www.lepanzanelle.it/
Bàcaro Il Gusto – Fossò - a MICHELIN Guide Restaurant	via Provinciale Nord 30	Fossò	30030	ITA	€€	Venetian	A simple, modern restaurant where all the attention is focused on the extraordinary skills of the chef. The name is a nod to the typical Venetian bars known asbacari, and, in keeping with them, the restaurant serves a range of snacks, both traditional and creative in style, which allow the chef to demonstrate his culinary skills to the full. Other classic and more imaginative dishes also feature on the menu, alongside a choice of excellent desserts.	Air conditioning, Wheelchair access	amex, mastercard, visa	+39 041 517 0035	45.3866770	12.0493508	closed	12:00-14:00, 19:30-22:00	12:00-14:00, 19:30-22:00	12:00-14:00, 19:30-22:00	12:00-14:00, 19:30-22:00	12:00-14:00, 19:30-22:00	12:00-14:00	https://guide.michelin.com/en/veneto/fosso/restaurant/bacaro-il-gusto	https://www.ristorantebacaroilgusto.it
Casa Rispoli – Cava de' Tirreni - a MICHELIN Guide Restaurant	piazza san Francesco 7	Cava de' Tirreni	84013	ITA	€€	Modern Cuisine	Overlooking a piazza surrounded by picturesque arcades in the historic centre (a walk around this district is highly recommended), this restaurant run by the Rispoli family continues to uphold its fine-dining traditions. Although a few meat dishes feature on the menu, it is its fish options (mainly traditional, such as tuna with mussels and escabeche-style aubergine) and occasionally imaginative desserts, such as the cheesecake with toffee and raspberry, that are the main attraction here.	Air conditioning, Terrace	amex, mastercard, visa	+39 089 995 1261	40.6963696	14.7099255	closed	13:00-14:30, 20:00-23:00	13:00-14:30, 20:00-23:00	13:00-14:30, 20:00-23:00	13:00-14:30, 20:00-23:00	13:00-14:30, 20:00-23:00	13:00-14:30	https://guide.michelin.com/en/campania/cava-de-tirreni/restaurant/casa-rispoli	http://www.casarispoli.it
L'Arcangelo – Rome - a MICHELIN Guide Restaurant	via Giuseppe Gioacchino Belli 59	Rome	00193	ITA	€€	Roman, Farm to table	Simple and austere: the rightfully earned fame of this restaurant is due to the search for the best regional (but not only) products. A real passion of the owner who, like an archangel, will guide you to the paradise of the palate and gastronomic niches.	Air conditioning	amex, mastercard, visa	+39 06 321 0992	41.9065413	12.4687174	19:15-22:45	19:15-22:45	19:15-22:45	19:15-22:45	19:15-22:45	19:15-22:45	closed	https://guide.michelin.com/en/lazio/roma/restaurant/l-arcangelo	https://www.larcangelo.com
Raieü – Cavi di Lavagna - a MICHELIN Guide Restaurant	via Milite Ignoto 23	Cavi di Lavagna	16033	ITA	€€	Seafood, Ligurian	After more than 60 years in business, this trattoria housed in an old warehouse for storing fishing nets is still a solid choice for quality and price alike. Situated in the centre of Cavi di Lavagna, the restaurant is simple and old-fashioned in feel, while an outdoor space overlooks one of this small village’s narrow alleyways. The restaurant continues to specialise in typical Ligurian fish and seafood, which is simply prepared, copious and full of flavour. The soup is one of the house specialities, the pesto is excellent, and many of the unusual dishes feature local, seasonal ingredients such as Lavagna’s broccoli cabbage stuffed with fish.	Air conditioning, Terrace	dinersclub, mastercard, visa	+39 0185 390145	44.2900882	9.3801310	closed	12:30-14:30, 19:30-22:00	12:30-14:30, 19:30-22:00	12:30-14:30, 19:30-22:00	12:30-14:30, 19:30-22:00	12:30-14:30, 19:30-22:00	12:30-14:30, 19:30-22:00	https://guide.michelin.com/en/liguria/cavi/restaurant/raieu	
